Node: 0 Time: 0s Ipv4ListRouting table
  Priority: 0 Protocol: ns3::Ipv4StaticRouting
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.80.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.81.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.82.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.83.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.84.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.85.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.11.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.12.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.15.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.86.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.87.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.88.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.89.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.90.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.91.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.92.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.93.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.94.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.95.1       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.46.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.47.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.48.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.49.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.50.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.51.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.52.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.53.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.54.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.55.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.66.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.66.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.67.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.67.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.68.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.68.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.69.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.69.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.70.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.70.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.71.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.71.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.72.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.72.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.73.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.73.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.74.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.74.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.75.2       10.0.0.2        255.255.255.255 UH    -      -      -   1
10.0.75.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.56.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.56.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.57.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.57.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.58.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.58.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.59.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.59.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.60.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.60.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.61.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.61.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.62.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
10.0.62.2       10.0.2.2        255.255.255.255 UH    -      -      -   3
10.0.63.2       10.0.1.2        255.255.255.255 UH    -      -      -   2
